uid,name,address,keyword,city,crawl_time
物美(孙河店),物美(孙河店),,物美便利店,北京,2026-02-04 20:57:28
物美(昆仑路店),物美(昆仑路店),,物美便利店,北京,2026-02-04 20:57:28
物美便利超市(甘棠店),物美便利超市(甘棠店),,物美便利店,北京,2026-02-04 20:57:28
物美便利店(南北路店),物美便利店(南北路店),,物美便利店,北京,2026-02-04 20:57:28
物美多点(贵友大厦店),物美多点(贵友大厦店),,物美便利店,北京,2026-02-04 20:57:28
北京罗森便利店 - 百度地图,北京罗森便利店 - 百度地图,,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(二店),罗森便利店(二店),,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(北京怀柔科学城城市客厅店),罗森便利店(北京怀柔科学城城市客厅店),,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(北京首都国际机场店),罗森便利店(北京首都国际机场店),,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(祥云小镇店),罗森便利店(祥云小镇店),,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(小天竺路店),罗森便利店(小天竺路店),,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(北京地铁昌平站店),罗森便利店(北京地铁昌平站店),,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(北京金融科技学院店),罗森便利店(北京金融科技学院店),,罗森便利店,北京,2026-02-04 20:57:46
罗森便利店(天通尾货店),罗森便利店(天通尾货店),,罗森便利店,北京,2026-02-04 20:57:46
北京物美便利店 北京,北京物美便利店 北京,,罗森便利店,北京,2026-02-04 20:57:46
北京物美便利店,北京物美便利店,,罗森便利店,北京,2026-02-04 20:57:46
北京全家便利店 - 百度地图,北京全家便利店 - 百度地图,,全家便利店,北京,2026-02-04 20:58:04
全家便利店(东安路店),全家便利店(东安路店),,全家便利店,北京,2026-02-04 20:58:04
全家FamilyMart(北京首都国际机场T2航站楼店),全家FamilyMart(北京首都国际机场T2航站楼店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(首都机场二店),全家便利店(首都机场二店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(首都机场十二店),全家便利店(首都机场十二店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(未来科学城北一店),全家便利店(未来科学城北一店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(首都机场T3停车楼一店),全家便利店(首都机场T3停车楼一店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(环普国际科创园店),全家便利店(环普国际科创园店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(天通苑店),全家便利店(天通苑店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(朝运街店),全家便利店(朝运街店),,全家便利店,北京,2026-02-04 20:58:04
全家便利店(东升科技园二店),全家便利店(东升科技园二店),,全家便利店,北京,2026-02-04 20:58:04
北京罗森便利店 北京,北京罗森便利店 北京,,全家便利店,北京,2026-02-04 20:58:04
北京罗森便利店,北京罗森便利店,,全家便利店,北京,2026-02-04 20:58:04
北京7-11 - 百度地图,北京7-11 - 百度地图,,7-11,北京,2026-02-04 20:58:22
7-11便利店(倚林佳园店),7-11便利店(倚林佳园店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(林萃东路店),7-11便利店(林萃东路店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(大屯路店),7-11便利店(大屯路店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(知春嘉园店),7-11便利店(知春嘉园店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(知春路店),7-11便利店(知春路店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(花园东路店),7-11便利店(花园东路店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(西土城路店),7-11便利店(西土城路店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(长远天地店),7-11便利店(长远天地店),,7-11,北京,2026-02-04 20:58:22
7-11便利店(慧忠北路店),7-11便利店(慧忠北路店),,7-11,北京,2026-02-04 20:58:22
北京全家便利店 北京,北京全家便利店 北京,,7-11,北京,2026-02-04 20:58:22
北京全家便利店,北京全家便利店,,7-11,北京,2026-02-04 20:58:22
北京7-11 北京,北京7-11 北京,,便利蜂,北京,2026-02-04 20:58:40
北京7-11,北京7-11,,便利蜂,北京,2026-02-04 20:58:40
